,outfile,unit,site,grid,tree,ht,dbh,cond,sample,sample_number,rust,slope,elevation,aspect,shading,micro,micro_obj,tree_obj_slope,tree_obj_dir,obj_ht,micro_dist,ground_cvr,comp,comp_spp,PICO,PIEN,ABLA,PIAL,comp_ht,comp_number,soil,rock.,date,adj_ht,age,adj_seasons,growth_rt,log_growth_rt,tpaa,den_change,plant_yr,log_dc,log_gr,lat,long,spring_snow,spring_rain,annual_p,annual_tmean,annual_tmax,grow_petmean,grow_aetmean,grow_dmean,grow_gdd,monthly_dmax,max_dsum
1,11_1_2_3,BT,BT1,2,3,107,0,0,0,NA,0,10,2552,180,15,0,NA,NA,NA,NA,NA,20,1,"10,30,40",1,0,1,1,175,18,27.09,30,43270.25,91.76,24,21.5,4.267906977,0.630214945,-13.39,0.257273,1993,-1.357617501,1.451123538,45.02804,-109.922935,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,102.9450428,46.30779353,56.63724931,133.268,164.8057222,512.2572852
2,11_1_2_1,BT,BT1,2,1,138,1,1,1,11,0,10,2552,180,38,0,NA,NA,NA,NA,NA,20,1,"10,40,30",1,0,1,1,250,21,27.09,30,43270.25,122.76,24,21.5,5.709767442,0.75661842,-13.39,0.257273,1993,-1.357617501,1.742178295,45.028054,-109.922951,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,75.08930822,40.07090486,35.01840336,133.268,117.2411306,330.7237799
3,11_1_2_2,BT,BT1,2,2,126,0,1,0,NA,0,10,2552,180,17,1,12,3,180,28,10,20,1,"10,30,40",1,0,1,1,210,20,27.09,30,43270.25,110.76,24,21.5,5.151627907,0.711944487,-13.39,0.257273,1993,-1.357617501,1.639312763,45.028023,-109.922955,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,100.5228344,45.84937044,54.67346397,133.268,160.6748293,495.9182904
4,11_1_4_10,BT,BT1,4,10,145,1,1,0,NA,0,5,2552,135,8,1,12,2,0,3,0,20,1,"10,40,30",1,0,1,1,200,17,27.09,30,43270.25,129.76,24,21.5,6.035348837,0.780702377,-13.39,0.257273,1993,-1.357617501,1.797633655,45.02821,-109.922005,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,106.5815574,46.97676799,59.60478939,133.268,171.0042682,536.8490593
5,11_1_4_9,BT,BT1,4,9,179,1,1,0,NA,0,5,2552,135,3,0,NA,NA,NA,NA,NA,20,1,"10,30,40",1,0,1,1,195,15,27.09,30,43270.25,163.76,24,21.5,7.616744186,0.88176937,-13.39,0.257273,1993,-1.357617501,2.030349006,45.028173,-109.92196,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,112.3741028,47.98352888,64.39057388,133.268,180.8707841,576.1613896
6,11_1_4_8,BT,BT1,4,8,173,1,1,0,NA,0,5,2552,135,2,0,NA,NA,NA,NA,NA,30,1,"10,40,30",1,0,1,1,155,20,27.09,30,43270.25,157.76,24,21.5,7.337674419,0.865558438,-13.39,0.257273,1993,-1.357617501,1.993021956,45.028168,-109.921946,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,113.5326082,48.17656875,65.3560394,133.268,182.843252,584.0453288
7,11_1_4_7,BT,BT1,4,7,161,1,1,0,NA,0,5,2552,135,13,0,NA,NA,NA,NA,NA,20,1,"10,40",1,0,0,1,210,18,27.09,40,43270.25,145.76,24,21.5,6.779534884,0.8311999,-13.39,0.257273,1993,-1.357617501,1.913908498,45.02815,-109.921968,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,100.7891824,44.67913328,56.11004915,133.268,161.207708,501.9598662
8,11_1_4_6,BT,BT1,4,6,208,2,1,0,NA,0,5,2552,135,5,1,12,2,225,3,0,20,1,"10,30,40",1,0,1,1,195,22,27.09,30,43270.25,192.76,24,21.5,8.965581395,0.952578458,-13.39,0.257273,1993,-1.357617501,2.193392957,45.02819,-109.922026,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,110.0570797,47.58824373,62.46883598,133.268,176.9250536,560.4161756
9,11_1_4_5,BT,BT1,4,5,106,0,1,0,NA,0,5,2552,135,18,0,NA,NA,NA,NA,NA,20,1,"10,40,30",1,0,1,1,200,17,27.09,40,43270.25,90.76,24,21.5,4.221395349,0.625456027,-13.39,0.257273,1993,-1.357617501,1.440165725,45.028195,-109.922035,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,94.99662929,43.5299561,51.46667319,133.268,151.3501635,463.1053984
10,11_1_4_4,BT,BT1,4,4,86,0,1,0,NA,0,5,2552,90,18,1,12,1,270,7,1,30,1,"10,30,40",1,0,1,1,205,16,27.09,40,43270.25,70.76,24,21.5,3.291162791,0.517349364,-13.39,0.257273,1993,-1.357617501,1.191240934,45.0282,-109.922033,59.74555555,23.86777778,74.25333333,1.83875326,17.13709677,91.84652544,42.87462483,48.97190061,133.268,145.9872844,442.9172994
